rgi_id,glac_name,cenlon,cenlat,area_km2,mean_dh,median_dh,std_dh,n_pixels,dh_rate,region
RGI2000-v7.0-G-15-14546,,97.13265361327358,29.237053500000002,0.081037691432125,-2.8900115489959717,-2.3095703125,3.3628382682800293,121,-0.36125144362449646,Arunachal Pradesh
RGI2000-v7.0-G-15-14547,,97.1393941669342,29.2519,0.127856933305052,-1.2975174188613892,-0.48583984375,6.214705467224121,190,-0.16218967735767365,Arunachal Pradesh
RGI2000-v7.0-G-15-14548,,97.147182,29.251407999999998,0.028778219570168,0.7317134141921997,0.6455078125,0.7607940435409546,51,0.09146417677402496,Arunachal Pradesh
RGI2000-v7.0-G-15-14549,,97.059267334689,29.195107,0.976967590709609,-2.7444911003112793,-4.36328125,8.931048393249512,1290,-0.3430613875389099,Arunachal Pradesh
RGI2000-v7.0-G-15-14550,,97.05405968596699,29.2006075,0.026926810119847,-7.247869491577148,-6.17431640625,8.492420196533203,44,-0.9059836864471436,Arunachal Pradesh
RGI2000-v7.0-G-15-14551,,97.05130626747219,29.202376,0.029908736439668,-12.9129638671875,-3.489013671875,23.386531829833984,56,-1.6141204833984375,Arunachal Pradesh
RGI2000-v7.0-G-15-14552,,97.04792250987902,29.1931645,0.77498667589147,-6.851462364196777,-5.5224609375,13.142881393432617,1036,-0.8564327955245972,Arunachal Pradesh
RGI2000-v7.0-G-15-14553,,97.0504511298706,29.1836495,0.128008966182817,1.3165123462677002,-4.869384765625,15.260703086853027,184,0.16456404328346252,Arunachal Pradesh
RGI2000-v7.0-G-15-14554,,97.03815074273275,29.182372,0.100710327467658,-2.112576961517334,-1.89990234375,5.425190448760986,165,-0.26407212018966675,Arunachal Pradesh
RGI2000-v7.0-G-15-14555,,97.03810091573033,29.177751,0.071226172223135,-6.859188079833984,-6.42138671875,4.759322166442871,115,-0.857398509979248,Arunachal Pradesh
RGI2000-v7.0-G-15-14556,,97.03376870112042,29.195524499999998,2.228367454018457,-2.572417736053467,-2.478515625,9.137834548950195,2875,-0.32155221700668335,Arunachal Pradesh
RGI2000-v7.0-G-15-14557,,97.01518478693366,29.192343,3.140745152603216,-4.571384906768799,-4.107421875,11.069113731384277,4079,-0.5714231133460999,Arunachal Pradesh
RGI2000-v7.0-G-15-14558,,96.9976198921953,29.2019205,8.711285689117123,-6.985850138014991,-4.99560546875,6.938002109527588,11090,-0.8732312672518738,Arunachal Pradesh
RGI2000-v7.0-G-15-14559,,96.9893559363573,29.211859500000003,0.133028509060617,-3.4224777221679688,-2.164794921875,4.643190860748291,192,-0.4278097152709961,Arunachal Pradesh
RGI2000-v7.0-G-15-14560,,96.98945401388889,29.2149585,0.146103322532383,-3.9559762477874756,-3.50439453125,3.9583961963653564,218,-0.49449703097343445,Arunachal Pradesh
RGI2000-v7.0-G-15-14561,,96.99048728844119,29.221062500000002,0.626612844693701,-3.7072675228118896,-3.38671875,4.1820807456970215,872,-0.4634084403514862,Arunachal Pradesh
RGI2000-v7.0-G-15-14562,,96.99383634625669,29.225092,0.081476450137122,-2.695944309234619,-2.42236328125,3.1827104091644287,119,-0.3369930386543274,Arunachal Pradesh
RGI2000-v7.0-G-15-14563,,96.99831665476191,29.2225685,0.137849370878849,-4.68030922817734,-5.646484375,4.261744022369385,212,-0.5850386535221676,Arunachal Pradesh
RGI2000-v7.0-G-15-14564,,96.99981632380545,29.227824499999997,0.031252180105321,-2.14553183414897,-2.51318359375,2.5701990127563477,61,-0.26819147926862125,Arunachal Pradesh
